SBER;MOEX;YNDX
9165474633;556548825.9;710629401.2
5646009936;248174150.6;604637551.8
10485882098;1066187024;675482269.2
9936032088;625342692.9;832957090
4864405366;861740190.7;841278630.4
6719255698;878539914.6;898479200.8
8103825686;778906541.9;1271806891
12661740756;1188649543;1117757797
10367670370;1082422057;4069493148
11730973231;745461389.4;1843011171
7891039717;850002924.8;952733215
10116243296;969262420.1;973285480
11869000222;760357632.5;2088120431
10758037620;579264320.3;1348641693
7262832432;488897051.1;1025627222
14573355408;684837430.2;1335372999
12365444789;595640768.6;999335986.8
9098209651;526839495.6;1948963842
8167114683;601484798.5;993882258.6
12249844291;615582421.4;859739886.2
13363918756;850136986.1;784728841.6
12692962570;1122829119;1395286200
12992374110;673062402.3;2114721367
11098851157;877535812.8;1188992623
12648688570;558467010.9;1483577519
8929308973;753279383.4;1324632417
20381955262;624580561.4;1054521740
13351886413;826012036.2;1686363487
9314224120;575189787.4;1584589457
7579007855;375907276.3;6018537560
6637504387;249868035.9;1479739877
9054245996;465924644;1742895923
6437007442;405400152.3;2153633226
7704063758;634093451.8;2196984076
6926329902;552557155.3;1907647738
10141332088;1039948856;6427805290
16724373958;1374275040;6128540003
14287528242;1127053261;4463510986
29250123419;2953963032;3822943335
23615359169;1540423633;3497220433
19695761022;3204443048;2666625230
12738292786;2671353561;1867503206
13359836777;2562189726;2457725502
23122055668;4935234637;2657640455
49385427971;5064865017;4016704700
27368963512;3979566940;2361308179
35646674941;2987444415;3822174430
50434232135;3670431450;3072326767
33462089398;2543375824;3013389537
35134438034;5912739734;2535378386
27438382586;1905263029;3000301292
34507099921;2881016122;3543744880
33640155970;2736347973;3337061483
29394019796;1607137420;2929937070
20144255967;1430724394;2607539794
36047953309;2170125290;3421748956
20794391119;1596945057;3020356884
20992083169;2009705249;2081740719
16984102870;1569727938;1741342480
21273110564;2020937960;2205845081
14152323783;1461379113;2011940379
23370357268;1584084209;2845481763
17235065519;1904404868;2335929077
14703005110;1568250668;2029939137
26938901533;1974585667;2417532263
17786713217;1790586052;2022273555
22320788796;2567145064;2827644693
5800209936;525190612.3;707293088.6
8212681043;698900926.1;930712871.8
16029896036;1449156488;2485799036
18670648933;2059668162;2053801681
20595306653;2752873958;1863514182
13685370763;2835811791;1224131250
11794682206;1582580099;2340575264
17514787768;2220353794;2707045917
14242707866;3076525052;2096704613
11973068616;1695047808;1342558602
10472460449;1309679373;1063497408
8280718574;1747828328;2125656371
15058997719;3404463664;3622829181
13579539159;3784609097;2205518868
17208241262;3329381309;2139358999
10956456920;2207144009;1166411574
6913652876;1165880226;1007709704
9707394360;1809208576;1075984612
11343545876;1772590323;1241369304
6617841365;1765038979;1404249646
13070048550;2623020012;835505398.4
11961690831;3651062823;1492724756
14231605183;4068902655;1585360736
11679302655;3490350004;1481616150
14534902239;3263037583;1404438119
19951575702;1370788538;1006890578
17813722381;1437609712;1522005574
15420063130;1363706004;1479102166
10819219615;704699437.7;980472381.6
4393812738;722497656;762324356.2
15409981369;1044848086;1637132779
22860566656;1431155645;1983259155
23677007418;701274578;1800337196
21465081836;1480027293;1509123115
13373648342;1060565816;1807444109
24294100966;1984610704;1984684006
31549092544;2716006043;1906430789
26485488602;1496457981;1313061406
19225352020;998306415.1;1222768235
19572072820;1340558171;1054726464
15045754085;1147780329;970374143.8
19662728516;850746231.6;1021970898
14524836993;958973501.7;1359168547
15576360955;1332610200;2328608712
13980584331;1145931588;2763644462
11802788689;1317515334;1852988142
14802264835;1100777600;2277647859
15554563363;1510955876;2208209346
12074076980;879761918.1;2435025325
11137767480;927912632.7;5728725699
14541271981;1530366844;4463727469
9536028546;1133287703;2118443296
8775787316;771695538;1920744558
8909592214;927171147.5;2200092558
15895629292;1405180329;1560910613
10651660815;365432182.8;973238752.8
11914952237;2321600997;2232002203
9483841870;2824807383;2213073490
8859053776;1078500164;2052505458
9485167255;1446181256;1789359741
10603240361;1906551496;1831480541
10836025410;1485804510;1703567496
13674397302;1146142182;2682270352
10392614438;1281919329;3139359369
8222468883;1142551900;1927349451
7621648288;530269125.4;2495725115
9408789104;562745260.3;2326200287
16436006752;1389188730;4169380591
10453875885;673910812;2797343080
9454102079;638670558.3;2319989398
11521604597;1000144552;1956989896
8310553242;1506930320;2179411364
5319231657;1162589187;5292024009
9005920588;699630088.9;2271949023
11138328731;919005803.9;2275794338
13145917241;965656685.5;3422788785
14565232568;2923576907;2348209067
9543108136;2313381667;1482967333
12399212426;2196915785;2205020878
6807374080;2156392285;1890057845
8061489862;2471369384;2485754109
9837842414;1760952470;3613608497
18901430661;1778633307;5590493998
24086072932;1154959620;5206608560
20686038716;1733609458;16661870109
10611904576;1559091603;9689458279
18405007816;1735952235;11367304986
8727611405;961438315.3;8908341962
9128470276;891695086.1;8955150291
27336230596;1161052984;13994978310
32170258945;1871028753;12067881492
10345016893;1450249939;11162543289
13519382620;1034096733;13004362423
17191544879;943582536.1;18929695913
11613583692;931306377.4;12787807400
9232406393;983207159;11800110057
14071375877;2222374182;1.16391E+11
8522787145;1516643883;18423656591
17450608747;1621093048;12409653215
15382475470;1744634598;12903085332
15500726113;1233230253;13691512417
13178570254;987065722.4;6213642695
15302879362;1095702365;15642564923
10478057858;548896497.9;7953995668
15594540162;1079300012;8361955914
10116610895;609650387.2;6954274617
14157337174;1435126456;5337359103
14255629552;1121716887;8344070019
9156984437;2759351961;4194996955
11305308495;2882105970;7460074667
12588932835;2134305033;4674724400
15914876385;1588448101;4547320864
15206482114;2395555181;14477851335
16403578895;1749979376;68430664481
18732362395;1643197510;14415410288
13705991460;1163742257;8914472775
14741456974;1106059848;8892190478
20396145374;2001716104;7497736163
17872440194;1555587871;3568363774
17791063641;1072904689;6063040492
23838847084;1571620841;5892209060
9513875234;4780438895;4034259264
18494841963;1858123594;4994787136
13059113370;1408474402;4723599832
10346732011;1382385494;4299701272
13514648160;1193162954;5128772802
10804190711;1725376282;4591643244
9481495812;2141316970;5892058127
9685023432;1583447872;4197003484
15627615938;1285864711;4796237583
13392342060;2022726202;10368259362
9616800476;2003171066;6438361041
16761624911;1923863503;6602846338
17405263503;1321878623;8104296525
9827794477;1327826521;6620270605
16035135289;2095476012;3431184052
12523196338;1467529970;2798071118
12740888700;936154404;4102303704
14346698389;2429805268;6323568978
18784577809;2035436095;4594748007
16956465783;2798507321;2968716024
16569318136;3134858848;3894683822
18755423472;1996986949;3936619471
32864048096;2820279649;7172170337
20569505847;1511825309;4970657456
49040624016;2799791214;9166527038
53418710877;2159281421;7977459462
56981091002;2148785449;7723386289
36869870228;2386232554;2827835235
25594975927;1728418901;1823739054
28152563676;2363800772;3293492961
23346224330;2117703544;2182090796
14733578919;2083002848;2369397839
23265463603;1967596396;1663465516
11633833057;1732119022;1596072036
18049549355;2423848444;2895878727
20602954854;1761728462;7375754004
33360645434;2392818443;4112439302
19957536266;2524341366;3089742110
12861398291;4567858260;5016139878
27926253239;3953645977;18829870703
33797756819;1586624983;6477510741
24485196876;2602502966;4117361544
16359009603;3508015146;2717230705
25436065778;1916157189;4200138176
25943614759;783015552.3;3686415159
21641376994;1271877100;3899465526
20456907403;2832810703;4980323887
21123931442;2020332944;3879427325
21506659116;2038474708;2538825773
25581080170;2838482643;3022896501
23511052595;1873048157;1952016802
15220154497;2124530074;2757995400
25872189748;2432170113;4841812730
